No.,お題,評価,マスターデータ
1,食べ物,1:低カロリーな食べ物-100:高カロリーな食べ物,1
2,動物,1:小さい動物-100:大きい動物,1
3,恋人にしたい有名人,1:興味がない-100:今すぐ結婚したい,1
4,好きな季節,1:嫌いな季節-100:大好きな季節,1
5,こわいもの,1:全然こわくない-100:めちゃくちゃこわい,1
6,朝起きるのがつらい日,1:余裕で起きられる-100:絶対に起きられない,1
7,人に貸したくないもの,1:いくらでも貸せる-100:絶対に貸したくない,1
8,スマホの充電残量,1:全然平気な残量-100:焦る残量,1
9,家事,1:好きな家事-100:嫌いな家事,1
10,痛いこと,1:全然痛くない-100:想像を絶する痛さ,1
11,におい,1:いいにおい-100:くさいにおい,1
12,乗り物,1:遅い乗り物-100:速い乗り物,1
13,飲み物,1:甘くない飲み物-100:とても甘い飲み物,1
14,休日の予定,1:ひとりで過ごしたい-100:みんなで過ごしたい,1
15,寿司ネタ,1:あまり好きじゃない-100:一番好き,1
16,芸能人の知名度,1:全然知られていない-100:誰でも知っている,1
17,人生でやり直したい出来事,1:別にどうでもいい-100:今すぐやり直したい,1
18,コンビニで買うもの,1:めったに買わない-100:よく買う,1
19,遅刻の言い訳,1:許される言い訳-100:絶対に許されない言い訳,1
20,モテる特徴,1:モテない-100:めちゃくちゃモテる,1
21,持ち物の重さ,1:とても軽い-100:とても重い,1
22,子どもの頃の夢,1:現実的な夢-100:非現実的な夢,1
23,アルバイト,1:楽なバイト-100:きついバイト,1
24,虫,1:平気な虫-100:絶対に無理な虫,1
25,SNSに投稿する内容,1:誰も反応しない-100:バズる,1
26,寒さ,1:あたたかい場所-100:凍えるほど寒い場所,1
27,好きなお菓子,1:あまり食べない-100:毎日でも食べたい,1
28,人に言えない秘密,1:バレても平気-100:絶対にバレたくない,1
29,ゲームの難易度,1:誰でもクリアできる-100:クリア不可能,1
30,学校の教科,1:得意な教科-100:苦手な教科,1
31,テンションが上がる瞬間,1:全く上がらない-100:最高に上がる,1
32,調味料,1:少ししか使わない-100:たくさん使う,1
33,長さ,1:とても短いもの-100:とても長いもの,1
34,カラオケで歌う曲,1:誰も知らない曲-100:全員で歌える曲,1
35,災害への備え,1:必要ない-100:絶対に必要,1
36,アプリ,1:全く使わない-100:毎日使う,1
37,旅行先,1:近くて手軽-100:遠くて大変,1
38,かっこいい仕事,1:地味な仕事-100:めちゃくちゃかっこいい仕事,1
39,眠くなる状況,1:目が冴える-100:一瞬で寝落ちする,1
40,値段,1:安い買い物-100:高い買い物,1
41,一人暮らしで必要なもの,1:なくても困らない-100:絶対に必要,1
42,親に怒られたこと,1:軽く注意される-100:こっぴどく怒られる,1
43,運動,1:楽な運動-100:きつい運動,1
44,人気のペット,1:飼う人が少ない-100:飼う人が多い,1
45,雨の日にしたいこと,1:したくない-100:とてもしたい,1
46,漫画のジャンル,1:あまり読まない-100:一番読む,1
47,飲み会のマナー,1:気にしなくていい-100:絶対に守るべき,1
48,面倒な手続き,1:すぐ終わる-100:一日かかる,1
49,好きな色,1:落ち着く色-100:派手な色,1
50,昔流行ったもの,1:もう誰もやらない-100:今でも人気,1
51,自慢できること,1:誰でもできる-100:世界に自慢できる,1
52,眠る前のルーティン,1:やらない-100:必ずやる,1
53,街で見かけたら二度見するもの,1:全く気にならない-100:絶対に二度見する,1
54,好きなパンの種類,1:あまり選ばない-100:必ず選ぶ,1
55,ストレス発散方法,1:効果がない-100:一発で解消する,1
56,強いキャラクター,1:とても弱い-100:最強,1
57,結婚相手に求める条件,1:なくてもいい-100:絶対に譲れない,1
58,片付けが必要な場所,1:すぐ片付く-100:一生片付かない,1
59,寿命が長い生き物,1:短命-100:とても長生き,1
60,人生で大事なもの,1:なくてもいい-100:これがすべて,1
